height,x_speed,y_speed,z_speed,pitch,roll,yaw,mp_distance_y,mp_distance_z,Target_Label
80.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,81.0,Benign
80.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,83.0,Benign
80.0,0.0,0.0,0.0,0.0,-1.0,0.0,8.0,82.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,8.0,81.0,Benign
70.0,0.0,0.0,0.0,-1.0,-1.0,0.0,14.0,80.0,Benign
70.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,79.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,25.0,77.0,Benign
70.0,2.0,0.0,0.0,-1.0,0.0,0.0,27.0,79.0,Benign
70.0,2.0,0.0,0.0,-2.0,0.0,0.0,27.0,79.0,Benign
70.0,2.0,0.0,0.0,-2.0,-1.0,0.0,40.0,69.0,Benign
70.0,2.0,-1.0,0.0,-1.0,-1.0,0.0,-22.0,82.0,Benign
70.0,0.0,0.0,0.0,1.0,0.0,0.0,-26.0,78.0,Benign
80.0,0.0,0.0,0.0,-4.0,-5.0,0.0,-29.0,79.0,Benign
80.0,1.0,-2.0,0.0,-1.0,0.0,0.0,-24.0,79.0,Benign
70.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-14.0,80.0,Benign
70.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-6.0,80.0,Benign
70.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,79.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,19.0,-4.0,79.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,55.0,-8.0,78.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,85.0,-10.0,78.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,121.0,-14.0,78.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,151.0,-15.0,80.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,172.0,-19.0,78.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,-17.0,77.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,-13.0,77.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,-12.0,78.0,Benign
70.0,-4.0,0.0,0.0,-4.0,0.0,178.0,-13.0,78.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-9.0,79.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-8.0,82.0,Benign
70.0,-2.0,0.0,0.0,-1.0,0.0,178.0,26.0,75.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,22.0,77.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,12.0,80.0,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,178.0,9.0,80.0,Benign
80.0,0.0,0.0,0.0,0.0,-1.0,178.0,5.0,81.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,178.0,3.0,82.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,178.0,3.0,82.0,Benign
80.0,-4.0,0.0,0.0,1.0,0.0,178.0,0.0,82.0,Benign
80.0,-2.0,0.0,0.0,-1.0,0.0,178.0,-1.0,79.0,Benign
80.0,-2.0,0.0,0.0,-1.0,0.0,178.0,-6.0,77.0,Benign
80.0,-2.0,0.0,0.0,0.0,0.0,178.0,0.0,85.0,Benign
80.0,-1.0,0.0,0.0,0.0,-3.0,178.0,-5.0,82.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,178.0,-6.0,83.0,Benign
80.0,-1.0,0.0,0.0,-1.0,0.0,178.0,-8.0,82.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,82.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,82.0,Benign
70.0,-4.0,0.0,0.0,-3.0,0.0,178.0,-1.0,81.0,Benign
80.0,-2.0,0.0,0.0,0.0,0.0,178.0,-3.0,81.0,Benign
80.0,-2.0,0.0,0.0,-1.0,0.0,178.0,-2.0,81.0,Benign
70.0,-2.0,0.0,0.0,-1.0,0.0,178.0,-2.0,76.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,4.0,78.0,Benign
70.0,-1.0,0.0,0.0,0.0,0.0,178.0,-4.0,74.0,Benign
70.0,0.0,1.0,0.0,0.0,2.0,178.0,-4.0,74.0,Benign
70.0,0.0,0.0,0.0,6.0,0.0,178.0,-4.0,74.0,Benign
80.0,4.0,0.0,0.0,0.0,-1.0,178.0,-4.0,74.0,Benign
80.0,3.0,0.0,0.0,-1.0,0.0,178.0,2.0,79.0,Benign
80.0,1.0,0.0,0.0,-1.0,0.0,178.0,1.0,80.0,Benign
80.0,0.0,0.0,0.0,-2.0,0.0,178.0,3.0,81.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-146.0,3.0,82.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-115.0,3.0,82.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-84.0,5.0,83.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-46.0,8.0,84.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-17.0,8.0,85.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-5.0,9.0,84.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
70.0,0.0,0.0,2.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
50.0,0.0,0.0,4.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
20.0,0.0,0.0,4.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
0.0,0.0,0.0,3.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
0.0,-1.0,0.0,0.0,-1.0,0.0,-4.0,-200.0,-200.0,Benign
0.0,-1.0,0.0,0.0,-1.0,0.0,-4.0,-200.0,-200.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,86.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,86.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,86.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,86.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,86.0,Benign
70.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-10.0,86.0,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,0.0,-7.0,85.0,Benign
70.0,0.0,0.0,0.0,0.0,2.0,0.0,-5.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,85.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,86.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,86.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,87.0,Benign
70.0,0.0,0.0,0.0,-9.0,0.0,0.0,-15.0,87.0,Benign
70.0,3.0,0.0,0.0,1.0,0.0,0.0,-16.0,88.0,Benign
70.0,2.0,0.0,0.0,-1.0,0.0,0.0,-15.0,91.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,9.0,82.0,Benign
70.0,2.0,0.0,0.0,0.0,-1.0,0.0,15.0,80.0,Benign
70.0,0.0,0.0,0.0,2.0,2.0,0.0,13.0,82.0,Benign
70.0,0.0,0.0,0.0,-2.0,-2.0,0.0,11.0,83.0,Benign
70.0,1.0,0.0,0.0,0.0,-1.0,0.0,11.0,83.0,Benign
70.0,0.0,-1.0,0.0,0.0,-1.0,0.0,9.0,81.0,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,0.0,6.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,79.0,Benign
70.0,2.0,0.0,0.0,-8.0,0.0,0.0,12.0,79.0,Benign
70.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,75.0,Benign
70.0,2.0,0.0,0.0,0.0,-1.0,0.0,24.0,77.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-35.0,76.0,Benign
70.0,2.0,-1.0,0.0,0.0,-1.0,0.0,-23.0,82.0,Benign
70.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-25.0,78.0,Benign
70.0,0.0,0.0,0.0,0.0,2.0,0.0,-20.0,78.0,Benign
70.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-18.0,79.0,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,0.0,-19.0,79.0,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,0.0,-9.0,80.0,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,0.0,-6.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,78.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,78.0,Benign
60.0,2.0,0.0,0.0,-8.0,0.0,0.0,-10.0,78.0,Benign
70.0,3.0,0.0,0.0,0.0,0.0,0.0,-16.0,78.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-21.0,77.0,Benign
60.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-24.0,78.0,Benign
60.0,2.0,0.0,0.0,-1.0,0.0,0.0,-3.0,81.0,Benign
70.0,2.0,-1.0,0.0,-1.0,-1.0,0.0,-9.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,83.0,Benign
70.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,81.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,80.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,3.0,-5.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,33.0,-4.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,68.0,-7.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,99.0,-11.0,80.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,135.0,-13.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,164.0,-15.0,78.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,176.0,-16.0,78.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,178.0,-15.0,79.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,-13.0,80.0,Benign
70.0,0.0,0.0,0.0,-5.0,0.0,178.0,-12.0,81.0,Benign
70.0,-4.0,0.0,0.0,-1.0,0.0,178.0,-13.0,80.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-5.0,86.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-5.0,86.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-30.0,76.0,Benign
70.0,-1.0,0.0,0.0,5.0,0.0,178.0,-29.0,76.0,Benign
60.0,0.0,0.0,0.0,0.0,2.0,178.0,-29.0,75.0,Benign
70.0,0.0,-2.0,0.0,0.0,0.0,178.0,-17.0,78.0,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,178.0,-7.0,78.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,178.0,-3.0,79.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,-1.0,79.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,1.0,78.0,Benign
70.0,-2.0,0.0,0.0,-1.0,0.0,178.0,0.0,79.0,Benign
70.0,-2.0,0.0,0.0,-1.0,0.0,178.0,0.0,78.0,Benign
70.0,-2.0,0.0,0.0,4.0,0.0,178.0,-3.0,70.0,Benign
60.0,0.0,0.0,0.0,6.0,0.0,178.0,6.0,77.0,Benign
70.0,2.0,0.0,0.0,0.0,0.0,179.0,8.0,60.0,Benign
70.0,2.0,0.0,0.0,0.0,0.0,178.0,0.0,78.0,Benign
70.0,2.0,0.0,0.0,-5.0,0.0,178.0,0.0,80.0,Benign
70.0,0.0,0.0,0.0,2.0,0.0,178.0,-2.0,81.0,Benign
70.0,1.0,0.0,0.0,0.0,0.0,178.0,-2.0,81.0,Benign
70.0,0.0,0.0,0.0,-5.0,0.0,178.0,0.0,80.0,Benign
70.0,-4.0,0.0,0.0,0.0,0.0,179.0,-5.0,80.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,0.0,80.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-7.0,76.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,5.0,80.0,Benign
70.0,-1.0,0.0,0.0,2.0,0.0,178.0,3.0,82.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,2.0,82.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,2.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,2.0,84.0,Benign
70.0,-4.0,0.0,0.0,-2.0,0.0,178.0,2.0,82.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,0.0,81.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-1.0,78.0,Benign
70.0,-2.0,0.0,0.0,-1.0,0.0,178.0,-2.0,79.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,178.0,-3.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,-9.0,81.0,Benign
70.0,0.0,0.0,0.0,-2.0,0.0,178.0,-8.0,80.0,Benign
70.0,-1.0,0.0,0.0,0.0,0.0,178.0,-7.0,81.0,Benign
70.0,-1.0,0.0,0.0,-1.0,0.0,178.0,-5.0,81.0,Benign
70.0,0.0,0.0,0.0,1.0,0.0,178.0,-2.0,80.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-155.0,-3.0,80.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-131.0,-5.0,79.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-95.0,0.0,80.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0,80.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-30.0,2.0,82.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-8.0,2.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-2.0,-200.0,-200.0,Benign
70.0,0.0,0.0,1.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
50.0,0.0,0.0,4.0,0.0,0.0,-3.0,-200.0,-200.0,Benign
30.0,0.0,0.0,4.0,0.0,0.0,-2.0,-200.0,-200.0,Benign
0.0,0.0,0.0,4.0,0.0,0.0,-2.0,-200.0,-200.0,Benign
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-200.0,-200.0,Benign
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-200.0,-200.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,-6.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,-7.0,85.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,85.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,-7.0,86.0,Benign
70.0,1.0,0.0,0.0,0.0,-1.0,0.0,-7.0,85.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,-5.0,84.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,-14.0,85.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,-18.0,85.0,Benign
70.0,2.0,0.0,0.0,-8.0,0.0,0.0,-22.0,86.0,Benign
70.0,3.0,0.0,0.0,0.0,0.0,0.0,-22.0,88.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-22.0,95.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-22.0,95.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,19.0,81.0,Benign
70.0,1.0,-1.0,0.0,0.0,-1.0,0.0,20.0,79.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,78.0,Benign
60.0,1.0,-1.0,0.0,-4.0,-3.0,0.0,15.0,79.0,Benign
60.0,1.0,-1.0,0.0,0.0,0.0,0.0,12.0,80.0,Benign
60.0,1.0,0.0,0.0,0.0,-1.0,0.0,8.0,80.0,Benign
60.0,0.0,0.0,0.0,1.0,-1.0,0.0,5.0,80.0,Benign
60.0,0.0,0.0,0.0,0.0,-1.0,0.0,5.0,80.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.0,Benign
70.0,0.0,0.0,0.0,-9.0,0.0,0.0,13.0,82.0,Benign
70.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,83.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,25.0,80.0,Benign
60.0,2.0,0.0,0.0,-1.0,0.0,0.0,29.0,78.0,Benign
60.0,2.0,0.0,0.0,-1.0,0.0,0.0,-32.0,74.0,Benign
70.0,2.0,-1.0,0.0,-1.0,0.0,0.0,-30.0,81.0,Benign
70.0,1.0,-1.0,0.0,3.0,-1.0,0.0,-25.0,82.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,80.0,Benign
60.0,1.0,-2.0,0.0,0.0,0.0,0.0,-26.0,80.0,Benign
60.0,0.0,-1.0,0.0,0.0,0.0,0.0,-16.0,81.0,Benign
70.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-11.0,83.0,Benign
60.0,0.0,-1.0,0.0,0.0,0.0,0.0,-8.0,82.0,Benign
60.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-6.0,82.0,Benign
60.0,0.0,0.0,0.0,-1.0,1.0,0.0,-4.0,82.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,82.0,Benign
70.0,0.0,0.0,0.0,0.0,-1.0,0.0,-10.0,82.0,Benign
60.0,4.0,0.0,0.0,-1.0,0.0,0.0,-14.0,82.0,Benign
70.0,2.0,0.0,0.0,-1.0,0.0,0.0,-25.0,79.0,Benign
60.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-26.0,80.0,Benign
60.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-8.0,78.0,Benign
60.0,1.0,0.0,0.0,-2.0,-1.0,0.0,-12.0,82.0,Benign
60.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-14.0,83.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,82.0,Benign
60.0,0.0,0.0,0.0,-1.0,0.0,0.0,-12.0,83.0,Benign
60.0,0.0,-1.0,0.0,0.0,0.0,0.0,-9.0,82.0,Benign
60.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,81.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,27.0,-4.0,81.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,57.0,-4.0,82.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,88.0,-9.0,81.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,125.0,-12.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,156.0,-15.0,78.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,174.0,-16.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,178.0,-13.0,81.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,178.0,-11.0,81.0,Benign
60.0,0.0,0.0,0.0,-9.0,0.0,178.0,-10.0,81.0,Benign
60.0,-3.0,0.0,0.0,1.0,0.0,177.0,-10.0,80.0,Benign
60.0,-2.0,0.0,0.0,0.0,0.0,177.0,-5.0,83.0,Benign
60.0,-2.0,0.0,0.0,0.0,0.0,178.0,-2.0,76.0,Benign
60.0,-2.0,0.0,0.0,0.0,0.0,178.0,-2.0,76.0,Benign
60.0,-1.0,0.0,0.0,0.0,0.0,178.0,-17.0,80.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,178.0,-14.0,80.0,Benign
60.0,0.0,-1.0,0.0,0.0,0.0,178.0,-12.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,-2.0,178.0,-6.0,80.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,178.0,-4.0,80.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,178.0,-2.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,-156.0,-3.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,-145.0,-5.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,-144.0,-3.0,79.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,-167.0,-3.0,80.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,178.0,-3.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,176.0,-3.0,82.0,Benign
70.0,-4.0,0.0,0.0,-2.0,0.0,174.0,-4.0,82.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,174.0,2.0,81.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,174.0,2.0,81.0,Benign
70.0,-2.0,0.0,0.0,0.0,0.0,174.0,1.0,80.0,Benign
70.0,-2.0,1.0,0.0,0.0,1.0,174.0,-2.0,82.0,Benign
70.0,0.0,0.0,0.0,-1.0,0.0,174.0,1.0,82.0,Benign
60.0,-1.0,0.0,0.0,0.0,0.0,174.0,0.0,81.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,174.0,-1.0,81.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,174.0,-3.0,81.0,Benign
60.0,-2.0,0.0,0.0,-8.0,0.0,174.0,-4.0,81.0,Benign
60.0,-3.0,0.0,0.0,0.0,0.0,174.0,-5.0,81.0,Benign
70.0,-2.0,0.0,0.0,-1.0,0.0,174.0,-8.0,78.0,Benign
60.0,-2.0,0.0,0.0,-1.0,0.0,174.0,-8.0,76.0,Benign
60.0,-2.0,0.0,0.0,-1.0,0.0,174.0,-11.0,81.0,Benign
60.0,-1.0,0.0,0.0,3.0,0.0,174.0,-5.0,77.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,174.0,-5.0,77.0,Benign
60.0,-1.0,0.0,0.0,0.0,0.0,174.0,-4.0,81.0,Benign
60.0,-1.0,0.0,0.0,0.0,0.0,174.0,-3.0,82.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,174.0,-3.0,82.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,-168.0,-3.0,82.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,-138.0,-4.0,82.0,Benign
60.0,0.0,0.0,0.0,0.0,0.0,-109.0,-2.0,83.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-67.0,-2.0,84.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,-37.0,-1.0,84.0,Benign
